ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
578,-46486386,-23509825,355030864000027,3550308005141,22,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,VILA PRIMA,5104-7,RUA HON?RIO EMILIANO BUENO,155,PONTE RAZA,ALTO DA PONTE RAZA
579,-46481885,-23504602,355030828000057,3550308005192,22,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,PARQUE BOTURUSSU,6087-9,RUA D-RIO COSTA MATOS,45,ERMELINO MATARAZZO,P FINAL ?NIBUS JD S+O CARLOS
580,-46488445,-23520100,355030864000150,3550308005143,22,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,BURGO PAULISTA,7057-2,RUA JO+O JOS+ DE QUEIROZ,595,S+O FRANCISCO,ES VELHA MOGI DAS CRUZES 263
581,-46685184,-23494600,355030829000076,3550308005117,03,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA DAS PALMEIRAS,1022-7,RUA BENEDITO GUEDES DE OLIVEIRA,450,VILA PALMEIRAS,AV NAFAR SOUZA
582,-46699862,-23477913,355030829000097,3550308005119,03,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CRUZ DAS ALMAS,1040-5,ESTRADA DO SAB+O,448,CRUZ DAS ALMAS,AV ELISIO TEIXEIRA LEITE
583,-46680959,-23474080,355030811000120,3550308005121,03,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,MARACAN+,1057-0,RUA RODOLFO MARCOS TE?FILO,248,JARDIM ELISEO,R HENRY CHARLES POTEL
584,-46673394,-23466240,355030811000107,3550308005121,03,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA SOUZA,1064-2,RUA LUCIANO DAMORE,224,VILA SOUZA,R ARRAIA AMARELA
585,-46681298,-23469731,355030811000020,3550308005123,03,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,PARQUE BEL+M,1097-9,AV. GUILHERME DE ALMEIDA,107,PARQUE BEL+M,AVENIDA PARADA PINTO
586,-46701598,-23499190,355030829000050,3550308005116,03,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,FREGUESIA DO ?,3035-0,RUA EST-CIO FERREIRA  E CAP J CARLO,61,NOSSA SENHORA DO O,FIXADA
587,-46685361,-23480569,355030829000117,3550308005118,03,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA BANC-RIA,3059-7,RUA MARQU-S DO RECIFE,330,VILA BANCARIA,TV AV ITABERABA ALTURA 2000
588,-46694151,-23469904,355030811000128,3550308005120,03,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,GUARIROBA,3079-1,RUA JOS+  FELIX ALVES PACHECO,209,VILA BRASILANDIA,DEP?SITO COMBARA DE CONSTRUC
589,-46683386,-23450257,355030811000178,3550308005190,03,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,JARDIM VISTA ALEGRE,3116-0,RUA ITATIBA DO SUL,4,JARDIM VISTA ALEGRE,C/RUA FIRMIN?POLIS
590,-46704799,-23485832,355030829000198,3550308005116,03,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA I?RIO,4056-8,RUA JAGUARURAMA,129,NOSSA SENHORA DO O,TV ES RIO VERDE
591,-46674017,-23468396,355030811000109,3550308005121,03,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA RICA,4061-4,RUA SPENCER VAMPRE,454,VILA RICA,TV DA ESTRADA DA PARADA
