ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
64,-46803256,-23584352,355030865000078,3550308005240,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,COHAB RAPOSO TAVARES,11932,RUA CACHOEIRA DO ARREPENDIMENTO,,JD ARPOADOR
65,-46720093,-23599439,355030854000042,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,CAXINGUI,30384,PC ROBERTO GOMES PEDROSA,,ESTADIO DO MORUMBI
66,-46743327,-23576108,355030867000189,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM BONFIGLIOLI,30392,AV OCTACILIO TOMANIK,,RIO PEQUENO
67,-46734009,-23585410,355030812000047,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JARDIM PERI PERI,31020,RUA PLINIO SALGADO,,BUTANTA
68,-46793090,-23599800,355030865000088,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM JOAO XXIII,31046,AV VATICANO,,JD JOAO XXIII
69,-46705653,-23579219,355030854000027,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,BIBI,40126,PC ROBERTO GOMES PEDROSA,,ITAIM BIBI
70,-46727025,-23572858,355030812000081,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,VILA INDIANA,40304,RUA IQUIRIRIM,,VL INDIANA
71,-46757198,-23567676,355030867000131,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,VILA DALVA,40894,RUA JORGE WORD,,VL DALVA
72,-46751961,-23597146,355030894000034,3550308005181,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,JARDIM CELESTE,40967,RUA EDWARD CARMILLO,,JD CELESTE
73,-46732209,-23598735,355030894000043,3550308005178,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,JARDIM COLOMBO,40975,RUA SALOMAO WAIMBERG,,JD BONFIGLIOLI
74,-46703526,-23570725,355030812000130,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,BUTANTA,50288,RUA AGOSTINHO CANTU C/ ROMAO GOMES,,BUTANTA
75,-46755359,-23584769,355030867000230,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,CARAMURU,50822,RUA PDE ALARICO ZACARIAS,,VL MARIA LUIZA
76,-46781585,-23596426,355030865000022,3550308005240,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM SAO JORGE,50881,RUA PROF JOAO DE LORENZO,,JD SAO JORGE
77,-46765891,-23596984,355030865000035,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,JARDIM GUARAU,51195,RUA JERONIMO FERNANDES,,JD GUARAU
78,-46705028,-23610575,355030854000048,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,FEIRAO DA ECONOMIA REAL PARQUE,51438,AV BARAO DE MONTE MOR,,REAL PQ MORUMBI
79,-46731043,-23592640,355030894000165,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,VILA SONIA,60348,AV GAL FRANCISCO MORAZAN,,VL SONIA
80,-46751050,-23570623,355030867000020,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,RIO PEQUENO,60585,AV PUJAIS SABATE,,RIO PEQUENO
81,-46768916,-23588165,355030865000105,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,VILA BORGES,60828,RUA ORESTES COLOMBARI,,VL BORGES
82,-46730351,-23579438,355030812000017,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,VILA GOMES,60852,RUA PEREIRA DO LAGO,,VL GOMES
83,-46742590,-23614128,355030894000190,3550308005178,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,PORTAL DO MORUMBI,61042,RUA ISAAC ALBENIZ C/ FRANCO ALFANO,,MORUMBI
84,-46714010,-23579884,355030812000059,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,CAXINGUI,70262,RUA LADISLAU ROMAN,,CAXINGUI
85,-46737672,-23582789,355030812000118,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JARDIM PINHEIROS,70637,RUA AUGUSTO FARINA,,JD PINHEIROS
86,-46741853,-23600215,355030894000110,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,MARIO MOURA ANDRADE,70718,AV CLAUDIO FRANCHI,,BUTANTA
87,-46776343,-23575288,355030867000252,3550308005182,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,AURIFLAMA,70785,RUA DR VIRGILIO ALVIN FRANCO,,JD D ABRIL
88,-46747119,-23562995,355030867000178,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,VILA BUTANTA,70823,RUA JOSE ALVES DA CUNHA LIMA,,RIO PEQUENO
89,-46758028,-23580873,355030867000088,3550308005182,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM ANTONIA,71048,RUA DR PAULO RIBEIRO COELHO,,JD ANTONIA
90,-46787000,-23601195,355030865000175,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,COHAB-EDUCANDARIO,71501,RUA NOVE,,EDUCANDARIO COHAB
91,-46711776,-23573764,355030812000113,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JARDIM RAPOSO TAVARES,71846,AV CAXINGUI,,JD RAPOSO TAVARES
92,-46764422,-23562588,355030867000039,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,JARDIM ADALGIZA,72150,AV GUSTAVO BERTHIER,,VL DALVA
93,-46749446,-23633241,355030817000145,3550308005233,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,PARQUE ARARIBA,10707,RUA FRANCISCO SOARES,,PQ REGINA
94,-46768505,-23630075,355030817000009,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO LIMPO,10782,AV AMADEU DA SILVA SAMELLO,,CAMPO LIMPO
95,-46736088,-23642406,355030883000049,3550308005177,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,PARQUE FERNANDA,10880,ES DE ITAPECERICA,,PQ FERNANDA
96,-46788039,-23662021,355030819000310,3550308005296,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM DAS ROSAS,11150,RUA SERRA DOS DOIS IRMAOS,,JD DAS ROSAS
97,-46778282,-23645653,355030817000079,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM ROSANA,11185,RUA CARLOS NAHAS C/ CARLOS LACERDA,,JD ROSANA
98,-46775131,-23675834,355030819000324,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM DO COLEGIO,11460,RUA DR HUMBERTO PASCALE,,JD JANGADEIRO
99,-46779144,-23661763,355030819000027,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,COHAB ADVENTISTA II,11770,RUA MODELAR,,CAPAO REDONDO
100,-46776674,-23674371,355030819000051,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM JANGADEIRO,31003,RUA ROSARIO SCAMARTI,,JD JANGADEIRO
